Category,Item,Amount,Date,Description,Tax_Deductible,GST_Rate
Tax_Payments,TDS on Salaries,1773276.11,2026-01-01,TDS Payment,No,0
Tax_Payments,Advance Income Tax,1310304.63,2026-01-01,Advance Tax Q2,No,0
Revenue,Product Sales,83282252.98,2025-12-02,Product Sales Revenue,No,18
Revenue,Service Income,35692394.14,2025-12-02,Consulting Services,No,18
Expenses,Raw Materials,34993368.72,2025-12-02,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17630509.81,2025-12-02,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-12-02,Office Space Rent,Yes,18
Expenses,Utilities,1764643.01,2025-12-02,Electricity & Water,Yes,18
Expenses,Marketing,7547135.42,2025-12-02,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-12-02,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-12-02,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-12-02,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-12-02,Business Loan Interest,Yes,0
Tax_Payments,GST Paid,5948732.36,2025-12-02,GST Payment,No,0
Tax_Payments,TDS on Salaries,1763050.98,2025-12-02,TDS Payment,No,0
Tax_Payments,Advance Income Tax,1990523.06,2025-12-02,Advance Tax Q3,No,0
Revenue,Product Sales,60562195.62,2025-11-02,Product Sales Revenue,No,18
Revenue,Service Income,25955226.69,2025-11-02,Consulting Services,No,18
Expenses,Raw Materials,25153182.9,2025-11-02,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17458624.32,2025-11-02,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-11-02,Office Space Rent,Yes,18
Expenses,Utilities,1776883.34,2025-11-02,Electricity & Water,Yes,18
Expenses,Marketing,6412272.2,2025-11-02,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-11-02,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-11-02,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-11-02,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-11-02,Business Loan Interest,Yes,0
Revenue,Product Sales,65662055.52,2025-10-03,Product Sales Revenue,No,18
Revenue,Service Income,28140880.94,2025-10-03,Consulting Services,No,18
Expenses,Raw Materials,28653792.68,2025-10-03,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,18138389.0,2025-10-03,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-10-03,Office Space Rent,Yes,18
Expenses,Utilities,1983720.95,2025-10-03,Electricity & Water,Yes,18
Expenses,Marketing,5039753.06,2025-10-03,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-10-03,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-10-03,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-10-03,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-10-03,Business Loan Interest,Yes,0
Revenue,Product Sales,64622734.94,2025-09-03,Product Sales Revenue,No,18
Revenue,Service Income,27695457.83,2025-09-03,Consulting Services,No,18
Expenses,Raw Materials,28690625.29,2025-09-03,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,18624416.54,2025-09-03,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-09-03,Office Space Rent,Yes,18
Expenses,Utilities,1848470.79,2025-09-03,Electricity & Water,Yes,18
Expenses,Marketing,7088838.98,2025-09-03,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-09-03,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-09-03,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-09-03,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-09-03,Business Loan Interest,Yes,0
Revenue,Product Sales,74132650.11,2025-08-04,Product Sales Revenue,No,18
Revenue,Service Income,31771135.76,2025-08-04,Consulting Services,No,18
Expenses,Raw Materials,34572269.42,2025-08-04,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17486453.63,2025-08-04,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-08-04,Office Space Rent,Yes,18
Expenses,Utilities,1664313.71,2025-08-04,Electricity & Water,Yes,18
Expenses,Marketing,7875180.46,2025-08-04,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-08-04,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-08-04,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-08-04,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-08-04,Business Loan Interest,Yes,0
Revenue,Product Sales,70324075.13,2025-07-05,Product Sales Revenue,No,18
Revenue,Service Income,30138889.34,2025-07-05,Consulting Services,No,18
Expenses,Raw Materials,30618530.16,2025-07-05,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17614181.87,2025-07-05,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-07-05,Office Space Rent,Yes,18
Expenses,Utilities,1992533.2,2025-07-05,Electricity & Water,Yes,18
Expenses,Marketing,6123599.66,2025-07-05,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-07-05,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-07-05,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-07-05,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-07-05,Business Loan Interest,Yes,0
Revenue,Product Sales,72257854.74,2025-06-05,Product Sales Revenue,No,18
Revenue,Service Income,30967652.03,2025-06-05,Consulting Services,No,18
Expenses,Raw Materials,29770296.99,2025-06-05,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,18397680.14,2025-06-05,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-06-05,Office Space Rent,Yes,18
Expenses,Utilities,1794338.86,2025-06-05,Electricity & Water,Yes,18
Expenses,Marketing,8009825.8,2025-06-05,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-06-05,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-06-05,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-06-05,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-06-05,Business Loan Interest,Yes,0
Revenue,Product Sales,74012888.77,2025-05-06,Product Sales Revenue,No,18
Revenue,Service Income,31719809.47,2025-05-06,Consulting Services,No,18
Expenses,Raw Materials,33741610.17,2025-05-06,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,18759913.6,2025-05-06,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-05-06,Office Space Rent,Yes,18
Expenses,Utilities,2003775.77,2025-05-06,Electricity & Water,Yes,18
Expenses,Marketing,6024754.03,2025-05-06,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-05-06,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-05-06,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-05-06,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-05-06,Business Loan Interest,Yes,0
Revenue,Product Sales,67698013.15,2025-04-06,Product Sales Revenue,No,18
Revenue,Service Income,29013434.21,2025-04-06,Consulting Services,No,18
Expenses,Raw Materials,29984527.52,2025-04-06,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17214146.35,2025-04-06,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-04-06,Office Space Rent,Yes,18
Expenses,Utilities,2242875.9,2025-04-06,Electricity & Water,Yes,18
Expenses,Marketing,7595493.71,2025-04-06,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-04-06,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-04-06,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-04-06,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-04-06,Business Loan Interest,Yes,0
Revenue,Product Sales,69287615.67,2025-03-07,Product Sales Revenue,No,18
Revenue,Service Income,29694692.43,2025-03-07,Consulting Services,No,18
Expenses,Raw Materials,32428633.99,2025-03-07,Cost of Goods Sold,Yes,18
Expenses,Employee Salaries,17786505.26,2025-03-07,Staff Salaries,Yes,0
Expenses,Office Rent,6000000.0,2025-03-07,Office Space Rent,Yes,18
Expenses,Utilities,1982155.71,2025-03-07,Electricity & Water,Yes,18
Expenses,Marketing,5194410.64,2025-03-07,Digital Marketing,Yes,18
Expenses,Professional Fees,2000000.0,2025-03-07,CA & Legal Fees,Yes,18
Expenses,Insurance,1000000.0,2025-03-07,Business Insurance,Yes,18
Expenses,Depreciation,3000000.0,2025-03-07,Asset Depreciation,Yes,0
Expenses,Interest on Loan,2000000.0,2025-03-07,Business Loan Interest,Yes,0
